,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
75, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1458,1908,1958,1844,2133,2452,2844,3092,3253,3108,2992,2592,1992
76, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1812,1756,2001,1623,1918,2287,2753,3135,3271,3310,3068,2640,1993
77, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1440,1918,2318,1825,2208,2611,2855,3036,3115,3160,3025,2554,1994
78, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1649,1853,2036,1641,2164,2486,2914,3124,3277,3336,3143,2665,1995
79, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1645,1733,2129,1889,1876,2353,2991,3137,3284,3197,3039,2563,1996
80, , , , , , ,b, , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1586,1786,1930,1572,2441,2340,2806,2952,3231,3277,3242,2618,1997
81, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1700,1776,2347,1954,2000,2450,3054,3324,3417,3377,2972,2784,1998
82, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1922,2018,2326,1744,2112,2737,2909,3125,3215,3446,3065,2661,1999
83, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1795,2049,1984,1464,2404,2533,3108,3223,3490,3416,3073,2718,2000
84, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1420,2018,2494,1955,1975,2702,3000,3144,3190,3160,2997,2524,2001
85, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1683,1707,1962,1687,2139,2691,2998,3226,3272,3240,3100,2742,2002
86, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1434,1781,2397,1642,2244,2559,3015,3121,3110,3222,3091,2648,2003
87, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1641,1519,2298,1627,2404,2556,2965,3142,3320,3233,3131,2840,2004
88, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1889,1897,2278,1658,2075,2446,2879,3120,3258,3266,3327,2695,2005
89, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1985,1801,2128,1869,2321,2769,2939,3389,3353,3385,3072,2653,2006
90, , , , , ,a, , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1651,1770,2224,2055,2421,2467,2987,3286,3301,3486,3201,2763,2007
91, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1567,1994,2155,1987,2226,2513,2915,3280,3328,3195,3069,2600,2008
92, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1805,1910,2093,1635,2345,2481,2928,3369,3314,3212,3133,2668,2009
93, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1427,1341,2288,1485,1914,2631,3037,3343,3395,3391,3285,2770,2010
94, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1487,1821,2254,1862,2389,2746,2992,3479,3362,3542,3015,2636,2011
95, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2004,1936,2109,1982,2546,2642,3130,3211,3312,3215,3097,2665,2012
96, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1954,1867,2061,1788,1986,2502,2787,3189,3118,3183,3209,2694,2013
97, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1292,1727,1895,1955,1973,2435,2880,3157,3222,3343,3159,2764,2014
98, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1583,1494,2361,2213,2324,2658,3026,3198,3398,3308,3108,2667,2015
99, , , , , ,a, , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1490,1871,2450,1986,2306,2566,2925,3258,3356,3294,3222,2912,2016
100, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1999,2218,2272,1693,2355,2728,2866,3013,3258,3229,3098,2717,2017
101,a, , , , , , , ,a, , ,b, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1401,2310,1922,1753,2220,2418,3090,3233,3297,3206,3194,2821,2018
102, , , , ,b,a, , ,b,h, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1620,2139,-9999,-9999,2107,2491,3024,3202,3287,3313,-9999,-9999,2019
