,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , ,c, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3115,-9999,1917
1, ,c,a,b,a, , , , ,f, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,-9999,2244,2052,1843,2555,2395,3005,3283,3242,3120,2858,2766,1918
2, ,g,b, , , ,a, , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,-9999,1695,2383,1873,2248,2449,2731,3111,3145,3214,3085,3045,1919
3, , , ,a, ,c,b, , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1769,1700,1970,1486,1945,2392,2894,3111,3148,3101,3181,2654,1920
4, , , , , , , , ,c, ,b, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1937,1875,2334,2082,2518,2429,2742,3281,3206,3285,3349,2741,1921
5,e, , ,b, , ,a, , ,b, ,a, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1817,2132,2359,2053,2152,2687,2819,3219,3175,3299,3243,2652,1922
6,b, , , ,d, , , , , , ,d, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2032,1821,2065,1920,2117,2589,2798,3001,3075,3131,3278,2518,1923
7, , ,b,a,a, , ,e,a,a,a, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1527,1750,2444,1783,1907,2561,2697,3206,3287,3502,3053,2712,1924
8, , , , ,b, , , ,a,a, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1847,2069,2082,1721,2413,2793,2855,3193,3269,3398,3571,2751,1925
9,a, ,d,c, ,a,c, , ,a,b,b, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1537,1936,1820,1958,1829,2352,2811,3099,3194,3173,3143,2751,1926
10,h,b, ,a, , , ,b,a,i, ,c, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1765,2214,2181,1526,2104,2702,2960,3159,3250,3203,3208,3090,1927
11,a,a, , ,b,a, ,e,d,b,f,a, , , , , , , , , , , , ,USH00012813, , , , , , ,S, ,S, ,S, ,1403,1673,1872,-9999,2083,2204,2559,2894,2944,3064,2730,2688,1928
12, , ,f,f, ,e, , , , , ,g, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,-9999,-9999,2172,1858,-9999,2606,-9999,-9999,-9999,-9999,-9999,2638,1929
13,d,b, ,g, , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1796,2113,-9999,1734,1814,2632,2908,3195,3423,3236,2982,2553,1930
14,d,f,a, ,h,c,g, ,a,c,b,b, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1805,1919,2473,2150,1795,2416,2708,3247,3144,3064,3282,2676,1931
15,f,a,g,g, ,e,e,d,e,e,d,e, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2058,2236,1812,1938,1952,2578,2690,2968,3278,3136,2896,2502,1932
16,f,e,f,h,e,g,e,g,f,f,f,e, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1914,1867,2230,2215,2161,2462,3079,3241,3152,3242,3451,2805,1933
17,h, , , ,i,h,f,I, , , , , ,1, , , , , ,1, , , , ,USH00012813, , , , , , , , , , , , ,1819,1722,2348,1722,2120,2588,2889,3256,3255,3240,3075,2781,1934
18, ,a,a,b, , , , , ,b, ,d, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1856,1889,2170,1288,2358,2492,2888,3119,3159,3164,2986,2730,1935
19,a, , , , , , ,c, , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1755,1880,2191,1883,2389,2538,2872,3288,3329,3305,3250,2907,1936
20, ,a,c, , , , , ,a, , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2337,1963,1947,1739,2126,2563,3043,3211,3338,3263,3026,2567,1937
21, , , ,a,a,a, , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1793,2147,2153,1755,2547,2573,2863,3169,3168,3301,3040,2739,1938
22, , , ,a, ,a, , , , ,a,b, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1924,2047,2059,1929,2317,2494,2840,3113,3229,3209,3133,2775,1939
23,b,a, , , ,a, , ,a, , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1129,1623,2137,1962,2188,2423,2923,3084,3148,3243,3046,2792,1940
24, , , , ,a, ,b,a, , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1837,1601,2217,2004,1881,2652,3017,3126,3238,3390,3183,3043,1941
25, ,a, , ,b, ,d, , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1671,1613,2383,1939,2033,2648,3008,3247,3337,3278,3044,2832,1942
26, , ,a,a, ,a, , , , ,a, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1900,2140,2143,1833,2179,2743,3166,3386,3373,3457,2988,2620,1943
27,a,a,a,a, ,a, , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1698,2252,2234,1802,2293,2473,2988,3479,3268,3273,3153,2706,1944
28, ,a,a, , , , , , , , ,b, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1677,2114,2406,1640,2598,2717,2892,3329,3154,3326,3211,2596,1945
29,b, , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1812,2041,2396,2149,2431,2768,2919,3095,3186,3243,2977,2780,1946
30, , ,a,a, , , ,a,a,b, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1888,1626,2041,1841,1926,2710,2889,3192,3292,3327,3136,2851,1947
31,d,d,a, ,d,a, , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1510,2018,2294,2039,2410,2751,3045,3238,3315,3275,2927,2683,1948
32, ,f, , ,a,a, , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2069,2222,2163,1990,2216,2483,3039,3181,3195,3339,3023,2849,1949
33, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2421,2201,2002,1561,1972,2257,2988,3180,3176,3279,3012,2752,1950
34, , , ,f, , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1932,2026,2000,2075,2267,2455,2961,3221,3342,3462,3125,2853,1951
35, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2171,2001,2083,1733,2184,2503,3066,3429,3362,3410,3001,2505,1952
36, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1896,1803,2130,1640,2438,2500,3088,3353,3236,3222,3120,2785,1953
37,a, , , , ,a,a, , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1941,2114,2046,1788,2102,2856,2802,3378,3345,3507,3375,2744,1954
38, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1706,1965,2138,1828,2389,2665,3087,3123,3188,3256,3147,2676,1955
39,a,a, , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1582,2159,2126,2214,2255,2475,3066,3098,3199,3326,3016,2754,1956
40, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2017,2228,2171,1830,2156,2582,2969,3203,3373,3276,2908,2398,1957
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1340,1386,2330,1629,2013,2532,2923,3156,3198,3250,3115,2587,1958
42, , ,c, , , , , , , , ,b, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1644,1886,2080,1772,2039,2422,-9999,3118,3215,3283,3067,2665,1959
43, , ,b, , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1628,1627,2226,1622,1854,2582,2785,3272,3382,3211,3070,2744,1960
44, , ,b, , ,a, , , ,a, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1394,2080,2251,1887,2314,2366,2821,3046,3206,3168,3095,2668,1961
45, , , , , , , , , ,a,a, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1643,2256,1954,1635,2038,2449,3172,3188,3394,3326,3103,2780,1962
46, , , , , ,a, , , ,a, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1480,1667,2135,1401,2396,2743,3009,3214,3225,3296,3041,2904,1963
47, , , , , , , , , ,e, , , , , , ,1, , , , , , , ,USH00012813, , , , , , , , , , , , ,1528,1489,2264,1884,2217,2589,2965,3282,3184,3173,3096,2449,1964
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1839,1813,2295,1842,1999,2747,3054,3083,3164,3141,2982,2545,1965
49,a, , ,a, , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1354,1727,2207,1643,2104,2532,2826,3102,3290,3107,2963,2532,1966
50, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1734,1777,2114,1995,2435,2840,2882,3185,3155,3047,2868,2583,1967
51, , , , , , , ,a, , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1687,1467,1928,1664,2111,2628,2875,3252,3226,3254,3040,2745,1968
52, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1671,1774,2074,1716,1825,2561,2911,3279,3245,3172,-9999,2704,1969
53, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1266,1744,1923,1957,2045,2724,2960,3136,3294,3191,3177,2563,1970
54, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1750,1873,2201,2116,2106,2609,2870,3269,3204,3168,3018,2819,1971
55, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2052,1820,1893,1870,2327,2617,2874,3198,3248,3332,3291,2760,1972
56, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1564,1719,2439,1691,2246,2370,2848,3250,3288,3218,3089,2846,1973
57,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,2274,1982,2075,1802,2455,2553,2978,3153,3303,3255,3011,2613,1974
58, , , , ,a, , ,a, , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1885,2109,2148,1714,2184,2428,2912,3156,3161,3149,2842,2619,1975
59, , , ,c, , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1613,2073,1641,1486,2291,2660,2622,3067,3197,3208,2956,2304,1976
60, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1081,1693,2088,1604,2135,2570,2943,3345,3320,3125,3100,2432,1977
61,b, , ,a, , , , , , , ,a, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1038,1233,2393,1705,1920,2575,2891,3187,3141,3175,3124,2652,1978
62,a, ,b,b, ,a,d, , , ,a,a, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1241,1459,2042,1581,2113,2540,2801,3120,3109,3224,2950,2706,1979
63,a, , , ,a,a,a,a, ,a,b,a, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1662,1467,1967,1616,2010,2347,2758,3127,3337,3355,3233,2480,1980
64, , , ,c,a, , , ,a,a, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1301,1648,2197,1569,2053,2669,2671,3191,3311,3170,3018,2571,1981
65, , , , , , , , ,a, ,a,c, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1603,1813,2177,1927,2140,2421,2894,3159,3156,3185,3001,2621,1982
66, ,a, , , ,b,a, ,b, , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1381,1601,2077,1526,1805,2226,2789,2954,3361,3240,2920,2606,1983
67,a, , , , , , , ,a,b,c, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1390,1767,2074,2136,2034,2413,2837,3151,3152,3077,3060,2829,1984
68, ,a, , , , , , , ,a, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1226,1722,2411,1580,2298,2567,2875,3118,3063,3205,3053,2785,1985
69, , , , , , , , , , , ,a, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1621,1925,2279,1528,2116,2510,2880,3240,3350,3276,3143,2582,1986
70, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1430,1678,2189,1804,2111,2378,2868,3056,3220,3213,3011,2423,1987
71, , , , , , , ,a,b, , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1368,1573,2275,1784,2039,2512,2850,3102,3136,3095,2950,2423,1988
72, , , , , , ,a, ,a, , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1962,1734,2117,1169,2143,2390,2806,3013,3095,3180,2939,2494,1989
73, , ,a, , , , ,a,a,a,a, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1820,1980,2370,1959,2215,2373,2780,3136,3174,3324,3143,2715,1990
74, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1555,1886,1856,1846,2233,2596,2857,3121,3279,3218,3061,2668,1991
