,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , ,c, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1834,-9999,1917
1, ,c,a,b,a, , ,a, ,f, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,-9999,1094,889,711,1302,1312,1690,2117,2071,2104,1705,1828,1918
2, ,h, , , , ,a, , , ,a, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,-9999,592,1237,592,1022,1130,1666,2103,2226,2233,1958,1965,1919
3,a, , ,a,b,e,b, , ,a, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,735,589,631,416,891,1350,1825,1998,2178,2148,2110,1294,1920
4, , , , , , , ,a, ,b, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,679,730,1087,753,1428,1270,1579,2136,2224,2174,2144,1301,1921
5,a, ,e, , ,a, , , ,b, ,a, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,698,1062,973,896,976,1549,1763,2117,2149,2184,1975,1482,1922
6,b, , ,a,g, ,c, , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,768,662,667,1060,864,1388,1694,2053,2146,2217,1991,1369,1923
7, ,a,d,b,a, ,a,f,b, ,a, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,182,489,797,666,694,1332,1561,2176,2146,2193,1891,1323,1924
8, ,a, , ,b,a,a, ,d,b, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,648,782,856,370,916,1346,1582,2124,2384,2228,2248,1676,1925
9,a,a, ,a, , ,b, , , ,b, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,499,636,577,889,720,1155,1549,2045,2156,2269,2153,1534,1926
10,c,a, ,a,a, , , ,a,i, ,f, , ,3, , , , , , , , , ,USH00012813, , , , , , , , , , , ,O,550,1153,1178,504,1061,1596,1837,2207,2270,2225,2052,2506,1927
11, , , , , , ,c,c,c, ,a, , , , ,3, , , , , , , , ,USH00012813, , , , , , , , , , , , ,288,534,759,372,1060,1122,1584,1999,2159,2176,1943,1541,1928
12, , ,f, ,i,e,f,b,i,h,i,e,3,3, , ,3, , , , , , , ,USH00012813, , , , , , , , , , , , ,717,450,972,-9999,1117,1434,1791,1923,2044,2053,1885,1183,1929
13,f,b, ,i,b,a, , , , ,g, , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,502,842,-9999,354,853,1280,1833,2016,2316,2147,2108,1329,1930
14,d,f,a,g,h,d,h, , ,d,c,a, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,338,436,1276,1099,647,1114,1583,1980,2275,2126,2111,1659,1931
15,e,c,g,f,b,e,e,d,f, , ,e, , , , , , , , , ,1,1, ,USH00012813, , , , , , , , , , , , ,917,1257,531,842,708,1266,1698,2168,2419,2311,2139,1325,1932
16,f,e,f,h,e,g,f,g,f,f,f,e, , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,880,672,733,850,894,1290,2006,1926,2250,2237,2140,1458,1933
17,g, , ,a,h,h,f,I, ,c, , , ,1, , , , , ,1, , , , ,USH00012813, , , , , , , , , , , , ,688,339,1069,615,660,1257,1843,2194,2338,2264,1922,1595,1934
18, ,a,a, , , , , , ,a, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,604,623,868,154,1302,1430,1861,2049,2218,2267,1903,1466,1935
19, , , , ,a, , ,a, , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,530,507,815,753,1128,1328,1785,2140,2294,2225,2117,1519,1936
