,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , ,2, , , , , , , , ,USH00011084, , , , , , , , , , , , ,-9999,-9999,-9999,432,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1890
1, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00011084, , , , , , , , , , , , ,1397,1425,2362,1333,1461,419,699,1702,1080,437,508,0,1891
2, , , , , , , , , , , , ,2,2,2, ,2,2,2,2,2,2,2,2,USH00011084, , , , , , , , , , , , ,3162,1118,419,-9999,650,406,965,1981,3114,3442,762,254,1892
3, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00011084, , , , , , , , , , , , ,1359,1544,1237,1237,1181,965,1854,876,1080,1638,876,1613,1893
4, , , , , , , , , , , , ,2,2, ,2,2,2,2,2, , , ,2,USH00011084, , , , , , , , , , , , ,610,4188,-9999,191,2002,572,1181,673,-9999,-9999,-9999,76,1894
5, , , , , , , , , , , , , ,2, ,2,2,2,2,2,2, , ,2,USH00011084, , , , , , , , , , , , ,-9999,381,-9999,762,1016,1016,1016,1016,762,-9999,-9999,508,1895
6, , , , , , , , , , , , ,2,2,2,2,2, ,2,2,2,2,2,2,USH00011084, , , , , , , , , , , , ,1118,3404,864,572,1499,-9999,813,2794,2375,470,356,1270,1896
7, , , , , , , , , , , , ,2,2, , ,2,2,2,4,2,2,2,2,USH00011084, , , , , , , , , , , , ,622,3124,-9999,-9999,1207,1105,127,64,1867,2489,0,0,1897
8, , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,USH00011084, , , , , , , , , , , , ,-9999,-9999,488,1542,1857,1788,572,3292,1989,993,1552,1646,1900
9, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,-9999,1404,823,900,2619,905,1278,1723,2149,2950,3477,884,1926
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,251,2336,1422,2381,1273,227,572,1858,1129,1785,1109,803,1927
