,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , ,3, , , , , , , , ,USH00011084, , , , , , , , , , , , ,-9999,-9999,-9999,472,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1891
1, , , , , , , , , , , , ,3,3,3, ,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,44,756,472,-9999,589,1289,1272,1889,2106,2117,1783,1433,1892
2, , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,-44,700,483,472,628,1244,1489,1994,2039,1939,1678,894,1893
3, , , , , , , , , , , , ,3,3,3,3,3,3,3,3, , , ,3,USH00011084, , , , , , , ,S, , , , ,611,417,283,306,1017,1061,1306,1450,-9999,-9999,-9999,906,1894
4, , , , , , , , , , , , ,3,3, , ,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,111,-133,-9999,-9999,522,983,1483,1972,2100,2078,1833,694,1895
5, , , , , , , , , , , , ,3,3,3,3,3, ,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,233,294,761,33,528,-9999,1806,2000,2078,2072,1556,978,1896
6, , , , , , , , , , , , ,3,3, , ,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,28,661,-9999,-9999,1361,1033,1378,1950,2083,1933,1578,994,1897
7, , , , ,a, , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,USH00011084, , , , , , , , , , , , ,-9999,-9999,772,344,606,1183,1589,1989,2122,2122,1917,1778,1900
8, , ,a, , , , , , ,c, , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,-9999,453,498,691,595,939,1437,1932,2025,2149,2103,1373,1926
9, , , ,d, , , , , , , , , , , ,3, , , , , , , , ,USH00011084, , , , , , , , , , , , ,456,1175,1128,278,899,1429,1761,2063,2021,2003,1806,1186,1927
10,b, , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,209,424,-9999,-9999,963,937,1424,1964,2124,2101,-9999,-9999,1928
11, , , , , ,e, , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,156,425,747,-9999,575,755,1492,1663,2086,1877,1910,-9999,1930
