,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, ,c, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-9999,1630,-9999,-9999,1812,2459,-9999,-9999,-9999,3435,2909,2373,1893
1, ,g, , , , ,c, , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-9999,1322,-9999,-9999,2124,2507,2920,3139,3214,3120,-9999,-9999,1894
2, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-9999,-9999,1801,1329,-9999,-9999,2612,3104,3104,3101,3100,2305,1895
3, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1132,1470,1955,1345,1729,2586,2926,2907,3158,3298,3080,2352,1896
4, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1175,1633,1857,1350,2055,2225,2634,3370,3228,3054,2986,2570,1897
5,b, , , , ,c, , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1454,1349,1518,1145,2035,2080,3004,3246,3099,2914,2799,2098,1898
6, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1168,1136,1852,1276,1932,-9999,-9999,3321,3133,3156,2826,2393,1899
7, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1179,1272,1732,1288,1708,2349,2748,2708,2929,-9999,2891,2377,1900
8, , , ,h, , , ,a, , ,a, , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1328,1140,1481,1009,1765,2000,2691,3011,3163,2946,2674,2269,1901
9, , ,a, ,d,i, , , , , ,a, , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1204,1050,1891,1131,1725,2307,2820,3262,3342,3303,2779,2194,1902
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,-9999,-9999,1837,1151,1902,2086,2439,2723,3015,3355,3068,2541,1903
11,a,a, , ,a,a, , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1405,1654,2007,1379,2356,2392,2885,3303,3326,3116,3306,2814,1904
12,e,b, , , , , , ,d, , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,433,827,2046,1121,-9999,2349,2900,3352,3271,3110,3158,2296,1905
13, , , , , , , , , , , , , , , , , , , , , ,3, , ,USH00013160, , , , , , , , , , , , ,1362,1428,2053,1566,1609,2485,2635,3212,3171,3272,3154,2285,1906
