,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
35, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,404,788,849,414,1501,2738,555,3016,677,639,363,668,1928
36, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1698,2514,3544,770,4670,1209,1402,1008,698,733,1582,1471,1929
37, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1098,401,1307,781,1126,430,1182,408,709,1621,1238,328,1930
38, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,839,765,574,2433,813,682,1552,505,1032,882,851,239,1931
39, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2501,1014,991,2552,928,640,828,1357,1390,1514,828,1293,1932
40, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,618,1719,286,606,1427,1548,478,715,1436,818,811,212,1933
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1094,1315,901,1217,1547,1342,724,893,2123,1800,584,1676,1934
42, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,892,1016,784,1220,1553,1038,876,903,1037,1396,475,363,1935
43, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,3544,2238,320,2623,1054,1717,442,348,1526,1870,145,407,1936
44, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2299,1494,977,597,1256,2030,1646,866,896,1001,703,1599,1937
45, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,730,523,780,513,1777,4220,957,1484,1470,921,269,313,1938
46, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1010,2220,211,910,1748,486,1352,1344,1515,4627,811,40,1939
47, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1631,1700,658,1546,1590,656,1353,1854,3820,916,283,563,1940
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,426,734,668,2089,1708,799,49,1478,3014,970,641,221,1941
49, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,886,1055,491,1770,2364,434,519,2241,1519,1515,955,582,1942
50, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,854,357,914,850,2250,1567,907,808,1456,1089,560,241,1943
51, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,927,2032,1028,752,2110,2348,983,936,597,998,813,99,1944
52, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,904,2534,783,1715,1360,3824,970,709,1098,132,1266,968,1945
53, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2245,1483,899,569,2255,511,2231,1461,1458,1576,1667,243,1946
54, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,3354,727,2489,972,1308,1836,1923,2296,1239,800,196,429,1947
55, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1192,1476,4188,1086,3402,776,451,1083,1560,1692,780,345,1948
56, ,b, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1392,1626,153,1231,1432,1980,1104,1630,1916,1349,448,416,1949
57, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,599,1323,213,1111,1463,858,1315,707,3075,1845,994,442,1950
58, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,953,581,558,2228,2862,1523,448,1022,1041,1686,1436,356,1951
59, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1169,1022,714,1668,2193,742,1676,117,602,960,588,419,1952
60, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1606,2193,716,2234,926,2462,897,841,876,368,1168,99,1953
61, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,609,952,864,1245,1124,928,334,665,645,533,97,455,1954
62, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1113,1576,947,574,1067,2693,1584,1252,1355,1612,348,517,1955
63, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,402,2393,568,1200,2574,1236,673,658,435,482,556,1324,1956
64, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1265,673,1730,895,1280,3048,1451,1367,431,204,2204,294,1957
65, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,741,1096,855,644,1616,788,599,1040,2292,556,1181,476,1958
66, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1372,994,268,606,1859,1099,1908,494,1321,386,1664,1202,1959
67, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1300,902,487,485,1827,506,680,1260,1066,999,1125,957,1960
68, , ,b, , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,827,3536,715,4895,2279,936,539,1761,720,939,812,221,1961
69, ,b, , , , , , , ,a, , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1779,993,1071,879,1174,1930,376,849,1540,593,1006,647,1962
70, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1759,765,1165,1236,1890,1263,1171,1599,1575,627,1348,0,1963
71, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1616,1150,843,1173,2232,3732,140,474,1024,1316,1501,1092,1964
72, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1263,1397,524,915,1697,279,277,1962,2667,1181,632,1378,1965
73, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1423,2656,1209,1377,1130,1077,1079,376,398,592,835,1409,1966
74, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,850,1369,1339,1795,490,350,1174,1125,1729,2877,1028,656,1967
75, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1490,449,1338,2338,439,1880,556,262,571,907,376,368,1968
76, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1172,970,330,1879,1219,915,1491,818,803,1505,934,952,1969
77, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,825,1016,583,1512,1416,1485,544,649,1346,3073,310,1551,1970
78, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,825,1919,585,2210,2947,1103,972,904,3549,1892,2299,254,1971
79, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,3426,985,1397,1703,2221,495,1672,927,381,723,1359,863,1972
80, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1617,622,1084,1245,3476,2055,1930,1270,1369,327,884,1105,1973
81, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1633,1448,716,1544,702,1410,1506,757,584,2028,2554,343,1974
82, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1707,2420,749,1245,1727,2947,1511,1350,2431,1427,1906,1537,1975
83, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1834,590,1022,1244,4033,216,1752,934,2747,1151,393,520,1976
84, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1264,1270,1460,769,3104,647,145,642,1616,1270,1703,838,1977
85, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1859,640,635,1346,920,1345,1752,1004,585,343,876,0,1978
86, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1931,1245,1338,617,2336,5588,1053,850,2561,240,2616,241,1979
87, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1551,833,343,546,3265,1555,1897,1055,738,190,953,1194,1980
88, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,361,2036,202,1521,1763,1760,631,750,1269,1727,661,893,1981
89,b, , ,b, , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1652,2236,1741,1364,802,2403,834,973,2447,648,202,1181,1982
90, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,970,1679,2475,2549,2336,2700,1465,990,343,927,1643,749,1983
91, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1068,1083,1342,927,1389,1330,1169,734,1677,969,267,1427,1984
92, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,843,1443,692,734,576,775,884,1056,1821,1422,775,952,1985
93, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,293,682,4412,1018,643,30,1297,257,1031,1206,1638,773,1986
94, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1789,1873,716,596,1123,109,654,1672,719,424,893,8,1987
95, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,905,601,1706,984,736,1057,387,155,2023,603,2284,1386,1988
96, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1035,658,1341,1199,2126,728,1654,1597,1055,600,943,1334,1989
97, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2600,2613,1469,860,1477,873,940,845,823,94,617,864,1990
98, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1152,1661,1324,1148,2065,2463,2505,993,364,550,701,434,1991
99, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1041,1345,2101,1194,460,801,319,1280,804,2062,776,342,1992
100, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,2109,1252,1231,740,1009,909,1534,548,951,940,882,1068,1993
101, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,1695,1362,784,1372,1907,843,468,1857,1434,948,867,962,1994
102, , , , , , , , , , , , , , , , , , , , , , , , ,USH00013160, , , , , , , , , , , , ,789,1292,1619,1209,1654,1447,592,452,541,1091,1159,1460,1995
