,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
32, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1912,2023,1922,2044,2360,2601,3036,3319,3395,3527,3111,2858,1951
33, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,2179,2036,2130,1691,2229,2567,3030,3569,3515,3334,2963,2468,1952
34, , , , , , , , , ,a, , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1955,1860,2085,1632,2459,2568,3121,3399,3257,3263,3104,2788,1953
35, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1903,2169,2035,1796,2136,2868,2774,3523,3471,3727,3466,2831,1954
36, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1752,1968,2160,1811,2551,2799,3167,3164,3287,3358,3205,2681,1955
37, , , ,a,a, , ,a, , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1578,2181,2049,2225,2292,2531,3122,3182,3322,3461,3095,2642,1956
38, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,2014,2236,2162,1873,2159,2652,2984,3229,3376,3459,2921,2314,1957
39, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1375,1399,2320,1597,1989,2700,2996,3218,3258,3301,3164,2494,1958
40, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1643,1959,2091,1738,2078,2530,3077,3176,3272,3330,3074,2593,1959
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1590,1759,2204,1581,1914,2717,2874,3321,3453,3304,3042,2781,1960
42, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1368,2203,2239,1877,2437,2539,2945,3117,3331,3161,3111,2658,1961
43, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1683,2399,1950,1648,2123,2568,3396,3289,3513,3421,3140,2843,1962
44, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1485,1716,2169,1407,2545,2881,3194,3358,3417,3451,3094,2889,1963
45, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1525,1554,2272,1906,2362,2763,3107,3410,3277,3349,3167,2464,1964
46, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1896,1881,2325,1797,2161,2936,3341,3292,3364,3296,3111,2549,1965
47, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1308,1777,2201,1708,2204,2760,2937,3255,3580,3326,3203,2603,1966
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1776,1814,2163,1980,2636,3070,3116,3350,3314,3192,2909,2658,1967
49, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1704,1488,1944,1619,2240,2878,3080,3507,3368,3384,3251,2831,1968
50, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1726,1888,2054,1694,1952,2772,3041,3474,3445,3251,3033,2685,1969
51, , , , , , , , , , , , , , , , , , , , , , , , ,USH00011084, , , , , , , , , , , , ,1242,1836,1921,1962,2152,2945,3163,3244,3426,3330,3271,2583,1970
