,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,304,-9999,-9999,1917
1, , , , , , , , , , , , , , , ,2, , , , , , ,2,2,USH00012813, , , , , , , , , , , , ,-9999,2922,1599,1996,226,2824,1045,938,823,-9999,1072,2690,1918
2, , , , , , , , , , , , , , ,2, , , , , , ,2, , ,USH00012813, , , , , , , , , , , , ,-9999,2427,815,888,1537,1326,1706,470,3415,2398,710,2936,1919
3, , , , , , , ,a, , , , , , , ,2, , , , , , ,2,2,USH00012813, , , , , , , , , , , , ,1534,883,932,1267,560,1825,908,1967,2291,2172,3526,401,1920
4, , , , , , , , , , , , , , , , ,2, , , ,2,2,2, ,USH00012813, , , , , , , , , , , , ,270,527,919,1024,1478,1234,958,186,2266,2022,686,435,1921
5, , , ,g, , , , , , , , ,2, ,2, ,2, ,2,2, ,2, ,2,USH00012813, , , , , , , , , , , , ,1542,1642,549,2535,1765,396,2616,1415,1454,2002,1052,754,1922
6, , , , , , , ,i,h,e, , , ,2,2, ,2, , , , , , ,2,USH00012813, , , , , , , , , , , , ,887,1085,1097,820,1641,788,1840,3136,2152,2222,414,3216,1923
7, , , , , , , ,g, , , , , , , ,4, , , , ,4,4, , ,USH00012813, , , , , , , , , , , , ,2035,1071,57,1605,578,1008,1137,1794,1044,833,1332,253,1924
8, , , , , , , , , , , , , , ,4,4, , , ,4, , , ,4,USH00012813, , , , , , , , , , , , ,1713,816,1605,1191,354,250,1224,1072,1389,332,366,1326,1925
9, , , , , , , , , , , , ,3, , , ,3,3,3,3, , ,3, ,USH00012813, , , , , , , , , , , , ,1852,1341,724,282,3078,1044,622,2184,2651,2561,4237,481,1926
10, , , , , , , , , , , , , , , ,3, , , , ,3, , ,3,USH00012813, , , , , , , , , , , , ,122,1174,679,2377,1148,245,269,1463,823,1878,1138,1013,1927
11, , , , , , , , , , , , , , , ,3, , , , , , ,3, ,USH00012813, , , , , , , , , , , , ,215,2212,349,1097,1100,2071,890,1630,1381,1532,1166,1676,1928
12, , , , , , , , , , , , ,3, , , ,3, , ,3,3, ,3,3,USH00012813, , , , , , , , , , , , ,1796,1899,2154,1027,2992,721,1003,3249,1260,1701,2189,1704,1929
13, , , , , , , , , , , , , , ,3, , , ,3, , , , , ,USH00012813, , , , , , , , , , , , ,1678,833,1753,1498,1229,292,465,269,1279,1342,2198,1125,1930
14, , , , , , , , , , , , , ,1, , ,1, , , , , ,1,1,USH00012813, , , , , , , , , , , , ,902,480,74,1752,1415,647,594,1187,4014,973,726,782,1931
15, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,981,651,505,1280,570,1202,2347,1776,1011,1216,1426,1599,1932
16, , , , , , , , , , , , , , , , , , , , , ,1, , ,USH00012813, , , , , , , , , , , , ,831,1692,229,552,1298,2425,646,1078,3259,866,246,689,1933
17, , , , , , , , , , , , ,1, , , ,1, , , , , , ,1,USH00012813, , , , , , , , , , , , ,1412,1828,904,571,1146,1394,1357,939,1438,1638,1101,1661,1934
18, , , , , , , , , , , , , ,1, , ,1, ,1, , , , , ,USH00012813, , , , , , , , , , , , ,247,864,158,1379,1069,1080,2461,798,2362,1854,617,496,1935
19, , , , , , , , , , , , , , , , , ,1, , ,1, ,1, ,USH00012813, , , , , , , , , , , , ,3469,952,917,1145,1031,1486,1416,744,2228,2495,1199,148,1936
20, , , , , , , , , ,h, , , , , ,1, ,1,1, , , , , ,USH00012813, , , , , , , , , , , , ,764,595,888,663,1798,4648,1405,1755,620,1930,1416,2166,1937
21, , , , , ,a, , , , , , , , , , , , , , , , ,1, ,USH00012813, , , , , , , , , , , , ,1091,489,433,689,480,803,1387,1177,2923,1036,716,153,1938
22, , , , , , , , , , , , , , ,1,1, , ,1, ,1, , ,1,USH00012813, , , , , , , , , , , , ,613,2023,320,632,396,607,2837,1571,1511,3058,805,246,1939
23, , , , , , , , , , , , ,1,1, , , , , , ,1, , , ,USH00012813, , , , , , , , , , , , ,645,1278,1353,2578,827,1469,135,3926,4803,1182,673,223,1940
24, , , , , , , , , , , , , , , , , , , , , ,1, , ,USH00012813, , , , , , , , , , , , ,413,976,617,1447,1745,805,549,2585,2771,1461,3027,1167,1941
25, , , , , , , , , , , , , ,1, , ,1, , , ,1, , , ,USH00012813, , , , , , , , , , , , ,1889,2111,409,2169,2040,723,1380,3352,1905,2633,1879,609,1942
26, , , , , , , , , , , , , , , , , , ,1, , ,1, , ,USH00012813, , , , , , , , , , , , ,1419,450,705,1432,2101,569,813,2058,2302,1191,1891,226,1943
27, , , , , , , , , , , , , , , ,1, , , ,1, , , , ,USH00012813, , , , , , , , , , , , ,1232,432,1149,566,2435,3796,470,599,2900,2958,3243,399,1944
28, , , , , , , , , , , , , , , ,1, , , , , , ,1, ,USH00012813, , , , , , , , , , , , ,1132,970,410,1748,584,2109,798,956,2782,1418,2484,630,1945
29, , , , , , , , ,i, , , , , , , , , , ,1, , ,1, ,USH00012813, , , , , , , , , , , , ,1878,1168,737,500,4111,373,1966,2108,4140,1585,1631,109,1946
30, , , , , , , , , , , , , , , , , , , , , ,1,1, ,USH00012813, , , , , , , , , , , , ,2225,886,2945,1792,4351,2240,2685,870,175,1438,2205,474,1947
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1381,376,3654,889,3500,1060,1298,1133,1136,2008,2183,244,1948
32, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,564,1513,93,1111,1696,2557,1992,2062,4618,1191,2004,1024,1949
33, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,272,172,290,1118,1611,1166,465,1129,2297,2060,1474,894,1950
34, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,647,248,968,993,2371,2126,2022,2376,1760,1789,2335,297,1951
35, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,508,1501,594,1484,1017,859,939,965,864,308,2806,36,1952
36, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,884,1484,1758,5005,1194,2589,226,2632,2543,1356,1482,64,1953
37, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,302,489,577,985,732,289,292,834,1896,315,1618,767,1954
38, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1201,1077,296,616,478,1158,1366,734,3828,1341,1000,1300,1955
39, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1170,1312,239,813,2475,602,1277,2113,1760,695,2699,701,1956
40, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,396,325,1512,758,1307,3187,1754,1304,937,1298,4227,346,1957
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1454,680,919,493,2428,710,1008,2125,2588,976,2207,640,1958
42, , , , , , ,., , , , , , , , , , , ,1, , , , , ,USH00012813, , , , , , , , , , , , ,1013,1397,153,610,1169,1473,1588,1525,1668,1140,2980,3377,1959
43, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1194,1162,287,912,1212,1702,808,782,983,4339,1645,1671,1960
44, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1282,3653,1233,2278,1517,1321,1249,3582,1562,1346,1272,400,1961
45, , , , , , , ,a, ,a, , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1306,574,1184,991,1007,796,609,1998,1368,656,1106,743,1962
46, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1476,1019,934,1525,444,477,1001,1525,2781,521,378,33,1963
47, , , , , , , , , , , , , , , , ,1, , , , , , , ,USH00012813, , , , , , , , , , , , ,2347,1244,1412,1118,1499,3585,234,941,1826,1855,686,1248,1964
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,800,1511,225,984,1243,156,106,3919,3487,2565,2729,653,1965
49, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1222,2381,1238,1249,654,622,1439,595,1930,2163,872,975,1966
50, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1255,1547,147,1465,175,427,726,1098,937,2004,1618,1777,1967
51, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,634,721,974,1575,503,572,685,962,1765,907,1064,97,1968
52, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1082,984,203,2100,2271,1156,2513,1085,2765,3277,1402,444,1969
53, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1096,1085,683,1324,1823,492,727,2482,491,3008,1405,1805,1970
54, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1007,1708,582,1508,1246,122,1150,716,1746,1624,2812,0,1971
55, , , , , , , , , , , , , , , , , , , , , , , , ,USH00012813, , , , , , , , , , , , ,1286,960,1179,1907,1807,582,1982,1123,1666,1051,257,704,1972
